time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
51410,116.0,193.0,0.14,0.33,100.0,0.16,42,84,31,0
51420,116.0,193.0,0.14,0.33,100.0,0.16,42,84,28,0
51430,116.0,193.0,0.14,0.33,100.0,0.16,48,84,28,0
51440,116.0,193.0,0.14,0.33,100.0,0.16,42,84,28,0
51450,116.0,193.0,0.14,0.33,100.0,0.16,39,84,28,0
51460,116.0,193.0,0.14,0.33,100.0,0.16,46,84,28,0
51470,116.0,193.0,0.14,0.33,100.0,0.16,45,84,28,0
51480,116.0,193.0,0.14,0.33,100.0,0.16,38,84,24,0
51490,116.0,193.0,0.14,0.33,100.0,0.16,45,84,24,0
51500,116.0,193.0,0.14,0.33,100.0,0.16,46,84,24,0
59920,117.0,198.0,0.15,0.33,100.0,0.16,30,84,50,0
59930,117.0,198.0,0.15,0.33,100.0,0.16,33,85,50,0
59940,117.0,198.0,0.15,0.33,100.0,0.16,27,85,45,0
59950,117.0,198.0,0.15,0.33,100.0,0.16,34,85,45,0
59960,117.0,198.0,0.15,0.33,100.0,0.16,33,85,45,0
59970,117.0,198.0,0.15,0.33,100.0,0.16,24,85,45,0
59980,117.0,198.0,0.15,0.33,100.0,0.16,26,84,45,0
59990,117.0,198.0,0.15,0.33,100.0,0.16,33,84,45,0
60000,117.0,198.0,0.15,0.33,100.0,0.16,25,84,47,0
60010,117.0,198.0,0.15,0.33,100.0,0.16,31,84,47,0
60020,117.0,198.0,0.15,0.33,100.0,0.16,37,85,47,0
60030,117.0,198.0,0.15,0.33,100.0,0.16,33,85,47,0
60040,117.0,198.0,0.15,0.33,100.0,0.16,29,85,47,0
60050,117.0,198.0,0.15,0.33,100.0,0.16,37,85,47,0
60060,117.0,198.0,0.15,0.33,100.0,0.16,33,85,39,0
60070,117.0,198.0,0.15,0.33,100.0,0.16,28,85,39,0
60080,117.0,198.0,0.15,0.33,100.0,0.16,24,85,39,0
60090,117.0,198.0,0.15,0.33,100.0,0.16,32,85,39,0
60100,117.0,198.0,0.15,0.33,100.0,0.16,38,85,39,0
60110,117.0,198.0,0.15,0.33,100.0,0.16,26,85,39,0
60120,117.0,198.0,0.15,0.33,100.0,0.16,29,85,47,0
60130,117.0,198.0,0.15,0.33,100.0,0.16,39,85,47,0
60140,117.0,198.0,0.15,0.33,100.0,0.16,27,85,47,0
60150,117.0,198.0,0.15,0.33,100.0,0.16,33,85,47,0
60160,117.0,198.0,0.15,0.33,100.0,0.16,38,85,47,0
60170,117.0,198.0,0.15,0.33,100.0,0.16,29,85,47,0
60180,117.0,198.0,0.15,0.33,100.0,0.16,32,85,48,0
60190,117.0,198.0,0.15,0.33,100.0,0.16,39,85,48,0
60200,117.0,198.0,0.15,0.33,100.0,0.16,30,85,48,0
60210,117.0,198.0,0.15,0.33,100.0,0.16,33,85,48,0
60220,117.0,198.0,0.15,0.33,100.0,0.16,37,85,48,0
60230,117.0,198.0,0.15,0.33,100.0,0.16,30,85,48,0
60240,117.0,198.0,0.15,0.33,100.0,0.16,34,85,43,0
60260,117.0,198.0,0.15,0.33,100.0,0.16,28,85,43,0
60270,117.0,198.0,0.15,0.33,100.0,0.16,33,85,43,0
60280,117.0,198.0,0.15,0.33,100.0,0.16,38,85,43,0
60290,117.0,198.0,0.15,0.33,100.0,0.16,27,85,43,0
60300,117.0,198.0,0.15,0.33,100.0,0.16,33,85,44,0
60310,117.0,198.0,0.15,0.33,100.0,0.16,42,85,44,0
60320,117.0,198.0,0.15,0.33,100.0,0.16,29,85,44,0
60330,117.0,198.0,0.15,0.33,100.0,0.16,35,85,44,0
60340,117.0,198.0,0.15,0.33,100.0,0.16,39,85,44,0
60350,117.0,198.0,0.15,0.33,100.0,0.16,30,85,44,0
60360,117.0,198.0,0.15,0.33,100.0,0.16,32,85,42,0
60370,117.0,198.0,0.15,0.33,100.0,0.16,40,85,42,0
60380,117.0,198.0,0.15,0.33,100.0,0.16,28,85,42,0
60390,117.0,198.0,0.15,0.33,100.0,0.16,29,85,42,0
60400,117.0,198.0,0.15,0.33,100.0,0.16,26,85,42,0
60410,117.0,198.0,0.15,0.33,100.0,0.16,32,86,42,0
60420,117.0,198.0,0.15,0.33,100.0,0.16,36,85,47,0
60430,117.0,198.0,0.15,0.33,100.0,0.16,29,86,47,0
60440,117.0,198.0,0.15,0.33,100.0,0.16,34,86,47,0
60450,117.0,198.0,0.15,0.33,100.0,0.16,41,86,47,0
60460,117.0,198.0,0.15,0.33,100.0,0.16,28,86,47,0
60470,117.0,198.0,0.15,0.33,100.0,0.16,34,86,47,0
60480,117.0,198.0,0.15,0.33,100.0,0.16,35,86,44,0
68290,69.0,93.0,0.03,0.03,100.0,0.3,23,87,51,0
68300,69.0,93.0,0.03,0.03,100.0,0.3,21,87,51,0
68310,113.0,137.0,0.05,0.07,100.0,0.59,27,87,51,0
68320,113.0,137.0,0.05,0.07,100.0,0.59,32,87,51,0
72600,56.0,77.0,0.03,0.03,100.0,0.3,25,88,52,0
73090,56.0,113.0,0.03,0.03,100.0,0.3,38,90,52,0
73100,56.0,113.0,0.03,0.03,100.0,0.3,36,90,52,0
