time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
60250,122.0,199.0,0.15,0.33,100.0,0.16,25,85,61,0
60260,122.0,199.0,0.15,0.33,100.0,0.16,26,85,61,0
60270,122.0,199.0,0.15,0.33,100.0,0.16,29,82,61,0
60280,122.0,199.0,0.15,0.33,100.0,0.16,26,82,61,0
60290,122.0,199.0,0.15,0.33,100.0,0.16,27,82,61,0
60300,122.0,199.0,0.15,0.33,100.0,0.16,25,81,53,0
60310,122.0,199.0,0.15,0.33,100.0,0.16,24,82,53,0
60320,122.0,199.0,0.15,0.33,100.0,0.16,28,82,53,0
60330,122.0,199.0,0.15,0.33,100.0,0.16,29,83,53,0
60340,122.0,199.0,0.15,0.33,100.0,0.16,28,83,53,0
60350,122.0,199.0,0.15,0.33,100.0,0.16,32,84,53,0
60360,122.0,199.0,0.15,0.33,100.0,0.16,29,83,53,0
60370,122.0,199.0,0.15,0.33,100.0,0.16,30,82,53,0
60380,122.0,199.0,0.15,0.33,100.0,0.16,26,82,53,0
60390,122.0,199.0,0.15,0.33,100.0,0.16,27,82,53,0
60400,122.0,199.0,0.15,0.33,100.0,0.16,22,82,53,0
60410,122.0,199.0,0.15,0.33,100.0,0.16,26,82,53,0
60420,122.0,199.0,0.15,0.33,100.0,0.16,23,82,60,0
60430,122.0,199.0,0.15,0.33,100.0,0.16,24,83,60,0
60440,122.0,199.0,0.15,0.33,100.0,0.16,26,83,60,0
60450,122.0,199.0,0.15,0.33,100.0,0.16,28,83,60,0
60460,122.0,199.0,0.15,0.33,100.0,0.16,22,83,60,0
60470,122.0,199.0,0.15,0.33,100.0,0.16,21,83,60,0
60480,122.0,199.0,0.15,0.33,100.0,0.16,21,83,58,0
60490,122.0,199.0,0.15,0.33,100.0,0.16,22,83,58,0
60500,122.0,199.0,0.15,0.33,100.0,0.16,24,83,58,0
60510,122.0,199.0,0.15,0.33,100.0,0.16,25,83,58,0
60910,100.0,107.0,0.05,0.05,100.0,0.1,27,83,62,0
60920,100.0,107.0,0.05,0.05,100.0,0.1,27,83,62,0
60930,100.0,107.0,0.05,0.05,100.0,0.1,26,84,62,0
60940,100.0,107.0,0.05,0.05,100.0,0.1,25,84,62,0
60950,100.0,107.0,0.05,0.05,100.0,0.1,24,84,62,0
60960,100.0,107.0,0.05,0.05,100.0,0.1,23,84,58,0
60970,100.0,107.0,0.05,0.05,100.0,0.1,22,84,58,0
60980,100.0,107.0,0.05,0.05,100.0,0.1,24,84,58,0
60990,100.0,107.0,0.05,0.05,100.0,0.1,24,84,58,0
61200,110.0,388.0,0.12,0.13,100.0,0.42,34,87,61,0
61210,110.0,388.0,0.12,0.13,100.0,0.42,35,87,61,0
61220,110.0,388.0,0.12,0.13,100.0,0.42,35,86,61,0
61230,110.0,388.0,0.12,0.13,100.0,0.42,35,85,61,0
61240,110.0,388.0,0.12,0.13,100.0,0.42,34,85,61,0
61250,110.0,388.0,0.12,0.13,100.0,0.42,35,86,61,0
61260,110.0,388.0,0.12,0.13,100.0,0.42,29,85,55,0
61270,110.0,388.0,0.12,0.13,100.0,0.42,27,85,55,0
61280,110.0,388.0,0.12,0.13,100.0,0.42,25,85,55,0
61290,110.0,388.0,0.12,0.13,100.0,0.42,26,85,55,0
